Overall_rank,Year,Country,Region,Score,GDP,Social_Support,Health_life_expectancy,Freedom_to_choices,Generosity,Perceptions_of_corruption
9,2017,Sweden,Western Europe,7.284,1.494,1.478,0.831,0.613,0.385,0.384
13,2017,Austria,Western Europe,7.006,1.487,1.46,0.815,0.568,0.316,0.221
15,2017,Ireland,Western Europe,6.977,1.536,1.558,0.81,0.573,0.428,0.298
16,2017,Germany,Western Europe,6.951,1.488,1.473,0.799,0.563,0.336,0.277
17,2017,Belgium,Western Europe,6.891,1.464,1.462,0.818,0.54,0.232,0.251
18,2017,Luxembourg,Western Europe,6.863,1.742,1.458,0.845,0.597,0.283,0.319
19,2017,United Kingdom,Western Europe,6.714,1.442,1.496,0.805,0.508,0.493,0.265
27,2017,Malta,Western Europe,6.527,1.343,1.488,0.822,0.589,0.575,0.153
31,2017,France,Western Europe,6.442,1.431,1.388,0.844,0.47,0.13,0.173
34,2017,Spain,Western Europe,6.403,1.384,1.532,0.889,0.409,0.19,0.071
48,2017,Italy,Western Europe,5.964,1.395,1.445,0.853,0.256,0.173,0.028
61,2017,North Cyprus,Western Europe,5.81,1.347,1.186,0.835,0.471,0.267,0.155
65,2017,Cyprus,Western Europe,5.621,1.356,1.131,0.845,0.355,0.271,0.041
87,2017,Greece,Western Europe,5.227,1.289,1.239,0.81,0.096,0,0.043
89,2017,Portugal,Western Europe,5.195,1.315,1.367,0.796,0.498,0.095,0.016
1,2018,Finland,Western Europe,7.632,1.305,1.592,0.874,0.681,0.192,0.393
2,2018,Norway,Western Europe,7.594,1.456,1.582,0.861,0.686,0.286,0.34
3,2018,Denmark,Western Europe,7.555,1.351,1.59,0.868,0.683,0.284,0.408
4,2018,Iceland,Western Europe,7.495,1.343,1.644,0.914,0.677,0.353,0.138
5,2018,Switzerland,Western Europe,7.487,1.42,1.549,0.927,0.66,0.256,0.357
6,2018,Netherlands,Western Europe,7.441,1.361,1.488,0.878,0.638,0.333,0.295
9,2018,Sweden,Western Europe,7.314,1.355,1.501,0.913,0.659,0.285,0.383
12,2018,Austria,Western Europe,7.139,1.341,1.504,0.891,0.617,0.242,0.224
14,2018,Ireland,Western Europe,6.977,1.448,1.583,0.876,0.614,0.307,0.306
15,2018,Germany,Western Europe,6.965,1.34,1.474,0.861,0.586,0.273,0.28
16,2018,Belgium,Western Europe,6.927,1.324,1.483,0.894,0.583,0.188,0.24
17,2018,Luxembourg,Western Europe,6.91,1.576,1.52,0.896,0.632,0.196,0.321
19,2018,United Kingdom,Western Europe,6.814,1.301,1.559,0.883,0.533,0.354,0.272
22,2018,Malta,Western Europe,6.627,1.27,1.525,0.884,0.645,0.376,0.142
23,2018,France,Western Europe,6.489,1.293,1.466,0.908,0.52,0.098,0.176
36,2018,Spain,Western Europe,6.31,1.251,1.538,0.965,0.449,0.142,0.074
47,2018,Italy,Western Europe,6,1.264,1.501,0.946,0.281,0.137,0.028
61,2018,Cyprus,Western Europe,5.762,1.229,1.191,0.909,0.423,0.202,0.035
77,2018,Portugal,Western Europe,5.41,1.188,1.429,0.884,0.562,0.055,0.017
79,2018,Greece,Western Europe,5.358,1.154,1.202,0.879,0.131,0,0.044
1,2019,Finland,Western Europe,7.769,1.34,1.587,0.986,0.596,0.153,0.393
2,2019,Denmark,Western Europe,7.6,1.383,1.573,0.996,0.592,0.252,0.41
3,2019,Norway,Western Europe,7.554,1.488,1.582,1.028,0.603,0.271,0.341
4,2019,Iceland,Western Europe,7.494,1.38,1.624,1.026,0.591,0.354,0.118
5,2019,Netherlands,Western Europe,7.488,1.396,1.522,0.999,0.557,0.322,0.298
6,2019,Switzerland,Western Europe,7.48,1.452,1.526,1.052,0.572,0.263,0.343
7,2019,Sweden,Western Europe,7.343,1.387,1.487,1.009,0.574,0.267,0.373
10,2019,Austria,Western Europe,7.246,1.376,1.475,1.016,0.532,0.244,0.226
14,2019,Luxembourg,Western Europe,7.09,1.609,1.479,1.012,0.526,0.194,0.316
15,2019,United Kingdom,Western Europe,7.054,1.333,1.538,0.996,0.45,0.348,0.278
17,2019,Germany,Western Europe,6.985,1.373,1.454,0.987,0.495,0.261,0.265
18,2019,Belgium,Western Europe,6.923,1.356,1.504,0.986,0.473,0.16,0.21
22,2019,Malta,Western Europe,6.726,1.3,1.52,0.999,0.564,0.375,0.151
24,2019,France,Western Europe,6.592,1.324,1.472,1.045,0.436,0.111,0.183
30,2019,Spain,Western Europe,6.354,1.286,1.484,1.062,0.362,0.153,0.079
36,2019,Italy,Western Europe,6.223,1.294,1.488,1.039,0.231,0.158,0.03
49,2019,Cyprus,Western Europe,6.046,1.263,1.223,1.042,0.406,0.19,0.041
66,2019,Portugal,Western Europe,5.693,1.221,1.431,0.999,0.508,0.047,0.025
82,2019,Greece,Western Europe,5.287,1.181,1.156,0.999,0.067,0,0.034
71,2015,Mauritius,Sub-Saharan Africa,5.477,1.008,0.985,0.71,0.561,0.377,0.075
78,2015,Nigeria,Sub-Saharan Africa,5.268,0.654,0.904,0.16,0.343,0.272,0.04
85,2015,Zambia,Sub-Saharan Africa,5.129,0.47,0.916,0.299,0.488,0.196,0.125
91,2015,Somaliland region,Sub-Saharan Africa,5.057,0.188,0.952,0.439,0.466,0.503,0.399
94,2015,Mozambique,Sub-Saharan Africa,4.971,0.083,1.026,0.091,0.34,0.223,0.156
97,2015,Lesotho,Sub-Saharan Africa,4.898,0.375,1.041,0.076,0.318,0.164,0.125
101,2015,Swaziland,Sub-Saharan Africa,4.867,0.712,1.073,0.076,0.307,0.183,0.031
113,2015,South Africa,Sub-Saharan Africa,4.642,0.92,1.185,0.277,0.332,0.12,0.089
114,2015,Ghana,Sub-Saharan Africa,4.633,0.546,0.68,0.401,0.423,0.231,0.044
115,2015,Zimbabwe,Sub-Saharan Africa,4.61,0.271,1.033,0.335,0.259,0.19,0.081
116,2015,Liberia,Sub-Saharan Africa,4.571,0.071,0.79,0.342,0.285,0.244,0.062
118,2015,Sudan,Sub-Saharan Africa,4.55,0.521,1.014,0.369,0.101,0.191,0.147
120,2015,Congo (Kinshasa),Sub-Saharan Africa,4.517,0,1.001,0.098,0.226,0.248,0.076
122,2015,Ethiopia,Sub-Saharan Africa,4.512,0.191,0.604,0.441,0.435,0.243,0.15
123,2015,Sierra Leone,Sub-Saharan Africa,4.507,0.33,0.956,0,0.408,0.215,0.088
124,2015,Mauritania,Sub-Saharan Africa,4.436,0.454,0.869,0.359,0.242,0.219,0.175
125,2015,Kenya,Sub-Saharan Africa,4.419,0.365,0.999,0.414,0.422,0.375,0.058
126,2015,Djibouti,Sub-Saharan Africa,4.369,0.44,0.592,0.363,0.461,0.181,0.281
128,2015,Botswana,Sub-Saharan Africa,4.332,0.994,1.105,0.048,0.495,0.105,0.125
131,2015,Malawi,Sub-Saharan Africa,4.292,0.016,0.411,0.226,0.431,0.331,0.07
133,2015,Cameroon,Sub-Saharan Africa,4.252,0.423,0.888,0.234,0.493,0.206,0.058
137,2015,Angola,Sub-Saharan Africa,4.033,0.758,0.86,0.167,0.104,0.123,0.071
138,2015,Mali,Sub-Saharan Africa,3.995,0.261,1.035,0.206,0.389,0.188,0.124
139,2015,Congo (Brazzaville),Sub-Saharan Africa,3.989,0.679,0.663,0.311,0.415,0.124,0.117
140,2015,Comoros,Sub-Saharan Africa,3.956,0.239,0.793,0.363,0.229,0.174,0.199
141,2015,Uganda,Sub-Saharan Africa,3.931,0.211,1.133,0.339,0.457,0.291,0.073
142,2015,Senegal,Sub-Saharan Africa,3.904,0.365,0.976,0.435,0.368,0.208,0.107
143,2015,Gabon,Sub-Saharan Africa,3.896,1.06,0.905,0.434,0.319,0.068,0.111
144,2015,Niger,Sub-Saharan Africa,3.845,0.069,0.773,0.297,0.477,0.194,0.156
146,2015,Tanzania,Sub-Saharan Africa,3.781,0.285,1.003,0.382,0.329,0.344,0.057
147,2015,Madagascar,Sub-Saharan Africa,3.681,0.208,0.668,0.467,0.192,0.213,0.081
148,2015,Central African Republic,Sub-Saharan Africa,3.678,0.079,0,0.067,0.489,0.238,0.083
149,2015,Chad,Sub-Saharan Africa,3.667,0.342,0.761,0.15,0.235,0.184,0.053
150,2015,Guinea,Sub-Saharan Africa,3.656,0.174,0.465,0.24,0.377,0.287,0.121
151,2015,Ivory Coast,Sub-Saharan Africa,3.655,0.465,0.771,0.152,0.469,0.202,0.179
152,2015,Burkina Faso,Sub-Saharan Africa,3.587,0.258,0.852,0.271,0.395,0.217,0.128
154,2015,Rwanda,Sub-Saharan Africa,3.465,0.222,0.774,0.429,0.592,0.226,0.552
155,2015,Benin,Sub-Saharan Africa,3.34,0.287,0.354,0.319,0.485,0.183,0.08
157,2015,Burundi,Sub-Saharan Africa,2.905,0.015,0.416,0.224,0.119,0.197,0.101
158,2015,Togo,Sub-Saharan Africa,2.839,0.209,0.14,0.284,0.365,0.167,0.107
66,2016,Mauritius,Sub-Saharan Africa,5.648,1.144,0.757,0.662,0.461,0.37,0.052
97,2016,Somaliland Region,Sub-Saharan Africa,5.057,0.256,0.759,0.331,0.391,0.515,0.368
103,2016,Nigeria,Sub-Saharan Africa,4.875,0.752,0.645,0.051,0.279,0.232,0.031
106,2016,Zambia,Sub-Saharan Africa,4.795,0.612,0.638,0.236,0.427,0.179,0.115
111,2016,Sierra Leone,Sub-Saharan Africa,4.635,0.365,0.628,0,0.307,0.239,0.082
114,2016,Cameroon,Sub-Saharan Africa,4.513,0.525,0.625,0.127,0.427,0.227,0.061
115,2016,Ethiopia,Sub-Saharan Africa,4.508,0.293,0.379,0.346,0.367,0.295,0.172
116,2016,South Africa,Sub-Saharan Africa,4.459,1.024,0.961,0.186,0.425,0.137,0.084
122,2016,Kenya,Sub-Saharan Africa,4.356,0.523,0.762,0.301,0.406,0.413,0.067
124,2016,Ghana,Sub-Saharan Africa,4.276,0.631,0.494,0.297,0.41,0.212,0.033
125,2016,Congo (Kinshasa),Sub-Saharan Africa,4.272,0.057,0.807,0.188,0.156,0.255,0.061
127,2016,Congo (Brazzaville),Sub-Saharan Africa,4.236,0.771,0.478,0.282,0.379,0.121,0.098
128,2016,Senegal,Sub-Saharan Africa,4.219,0.443,0.774,0.405,0.311,0.191,0.117
130,2016,Mauritania,Sub-Saharan Africa,4.201,0.614,0.841,0.286,0.127,0.227,0.18
131,2016,Zimbabwe,Sub-Saharan Africa,4.193,0.35,0.715,0.16,0.254,0.185,0.086
132,2016,Malawi,Sub-Saharan Africa,4.156,0.087,0.147,0.294,0.414,0.31,0.076
133,2016,Sudan,Sub-Saharan Africa,4.139,0.631,0.819,0.298,0,0.181,0.1
134,2016,Gabon,Sub-Saharan Africa,4.121,1.159,0.724,0.349,0.281,0.062,0.093
135,2016,Mali,Sub-Saharan Africa,4.073,0.313,0.863,0.163,0.275,0.211,0.136
137,2016,Botswana,Sub-Saharan Africa,3.974,1.094,0.892,0.348,0.441,0.124,0.108
138,2016,Comoros,Sub-Saharan Africa,3.956,0.275,0.603,0.3,0.154,0.183,0.184
139,2016,Ivory Coast,Sub-Saharan Africa,3.916,0.555,0.576,0.045,0.407,0.203,0.155
141,2016,Angola,Sub-Saharan Africa,3.866,0.847,0.664,0.05,0.006,0.121,0.084
142,2016,Niger,Sub-Saharan Africa,3.856,0.133,0.605,0.262,0.38,0.21,0.172
144,2016,Chad,Sub-Saharan Africa,3.763,0.422,0.632,0.038,0.128,0.187,0.05
145,2016,Burkina Faso,Sub-Saharan Africa,3.739,0.32,0.631,0.213,0.334,0.244,0.125
145,2016,Uganda,Sub-Saharan Africa,3.739,0.347,0.91,0.196,0.437,0.271,0.064
148,2016,Madagascar,Sub-Saharan Africa,3.695,0.28,0.461,0.371,0.137,0.22,0.075
149,2016,Tanzania,Sub-Saharan Africa,3.666,0.472,0.776,0.357,0.318,0.315,0.051
150,2016,Liberia,Sub-Saharan Africa,3.622,0.107,0.504,0.232,0.257,0.241,0.049
151,2016,Guinea,Sub-Saharan Africa,3.607,0.224,0.311,0.188,0.31,0.299,0.119
152,2016,Rwanda,Sub-Saharan Africa,3.515,0.328,0.616,0.319,0.543,0.236,0.505
153,2016,Benin,Sub-Saharan Africa,3.484,0.395,0.104,0.21,0.397,0.202,0.067
155,2016,Togo,Sub-Saharan Africa,3.303,0.281,0,0.248,0.347,0.175,0.116
157,2016,Burundi,Sub-Saharan Africa,2.905,0.068,0.234,0.157,0.043,0.203,0.094
64,2017,Mauritius,Sub-Saharan Africa,5.629,1.189,1.21,0.638,0.491,0.361,0.042
95,2017,Nigeria,Sub-Saharan Africa,5.074,0.784,1.216,0.057,0.395,0.231,0.026
101,2017,South Africa,Sub-Saharan Africa,4.829,1.055,1.385,0.187,0.479,0.139,0.073
106,2017,Sierra Leone,Sub-Saharan Africa,4.709,0.368,0.984,0.006,0.319,0.293,0.071
107,2017,Cameroon,Sub-Saharan Africa,4.695,0.564,0.946,0.133,0.43,0.236,0.051
112,2017,Kenya,Sub-Saharan Africa,4.553,0.56,1.068,0.31,0.453,0.445,0.065
113,2017,Mozambique,Sub-Saharan Africa,4.55,0.234,0.871,0.107,0.481,0.322,0.179
115,2017,Senegal,Sub-Saharan Africa,4.535,0.479,1.18,0.409,0.378,0.183,0.115
116,2017,Zambia,Sub-Saharan Africa,4.514,0.636,1.003,0.258,0.462,0.25,0.078
118,2017,Gabon,Sub-Saharan Africa,4.465,1.198,1.156,0.357,0.312,0.044,0.076
119,2017,Ethiopia,Sub-Saharan Africa,4.46,0.339,0.865,0.353,0.409,0.313,0.165
123,2017,Mauritania,Sub-Saharan Africa,4.292,0.648,1.272,0.285,0.096,0.202,0.137
124,2017,Congo (Brazzaville),Sub-Saharan Africa,4.291,0.809,0.832,0.29,0.435,0.121,0.08
126,2017,Congo (Kinshasa),Sub-Saharan Africa,4.28,0.092,1.229,0.191,0.236,0.246,0.06
127,2017,Mali,Sub-Saharan Africa,4.19,0.476,1.281,0.169,0.307,0.183,0.105
128,2017,Ivory Coast,Sub-Saharan Africa,4.18,0.603,0.905,0.049,0.448,0.201,0.13
130,2017,Sudan,Sub-Saharan Africa,4.139,0.66,1.214,0.291,0.015,0.182,0.09
131,2017,Ghana,Sub-Saharan Africa,4.12,0.667,0.874,0.296,0.423,0.257,0.025
133,2017,Uganda,Sub-Saharan Africa,4.081,0.381,1.13,0.218,0.443,0.326,0.057
134,2017,Burkina Faso,Sub-Saharan Africa,4.032,0.35,1.043,0.216,0.324,0.251,0.12
135,2017,Niger,Sub-Saharan Africa,4.028,0.162,0.993,0.269,0.364,0.229,0.139
136,2017,Malawi,Sub-Saharan Africa,3.97,0.233,0.513,0.315,0.467,0.287,0.073
137,2017,Chad,Sub-Saharan Africa,3.936,0.438,0.954,0.041,0.162,0.216,0.054
138,2017,Zimbabwe,Sub-Saharan Africa,3.875,0.376,1.083,0.197,0.336,0.189,0.095
139,2017,Lesotho,Sub-Saharan Africa,3.808,0.521,1.19,0,0.391,0.157,0.119
140,2017,Angola,Sub-Saharan Africa,3.795,0.858,1.104,0.05,0,0.098,0.07
142,2017,Botswana,Sub-Saharan Africa,3.766,1.122,1.222,0.342,0.505,0.099,0.099
143,2017,Benin,Sub-Saharan Africa,3.657,0.431,0.435,0.21,0.426,0.208,0.061
144,2017,Madagascar,Sub-Saharan Africa,3.644,0.306,0.913,0.375,0.189,0.209,0.067
148,2017,Liberia,Sub-Saharan Africa,3.533,0.119,0.872,0.23,0.333,0.267,0.039
149,2017,Guinea,Sub-Saharan Africa,3.507,0.245,0.791,0.194,0.349,0.265,0.111
150,2017,Togo,Sub-Saharan Africa,3.495,0.305,0.432,0.247,0.38,0.197,0.096
151,2017,Rwanda,Sub-Saharan Africa,3.471,0.369,0.946,0.326,0.582,0.253,0.455
153,2017,Tanzania,Sub-Saharan Africa,3.349,0.511,1.042,0.365,0.39,0.354,0.066
154,2017,Burundi,Sub-Saharan Africa,2.905,0.092,0.63,0.152,0.06,0.204,0.084
155,2017,Central African Republic,Sub-Saharan Africa,2.693,0,0,0.019,0.271,0.281,0.057
55,2018,Mauritius,Sub-Saharan Africa,5.891,1.09,1.387,0.684,0.584,0.245,0.05
91,2018,Nigeria,Sub-Saharan Africa,5.155,0.689,1.172,0.048,0.462,0.201,0.032
99,2018,Cameroon,Sub-Saharan Africa,4.975,0.535,0.891,0.182,0.454,0.183,0.043
103,2018,Gabon,Sub-Saharan Africa,4.758,1.036,1.164,0.404,0.356,0.032,0.052
105,2018,South Africa,Sub-Saharan Africa,4.724,0.94,1.41,0.33,0.516,0.103,0.056
107,2018,Ivory Coast,Sub-Saharan Africa,4.671,0.541,0.872,0.08,0.467,0.146,0.103
108,2018,Ghana,Sub-Saharan Africa,4.657,0.592,0.896,0.337,0.499,0.212,0.029
109,2018,Senegal,Sub-Saharan Africa,4.631,0.429,1.117,0.433,0.406,0.138,0.082
113,2018,Sierra Leone,Sub-Saharan Africa,4.571,0.256,0.813,0,0.355,0.238,0.053
114,2018,Congo (Brazzaville),Sub-Saharan Africa,4.559,0.682,0.811,0.343,0.514,0.091,0.077
118,2018,Mali,Sub-Saharan Africa,4.447,0.37,1.233,0.152,0.367,0.139,0.056
121,2018,Burkina Faso,Sub-Saharan Africa,4.424,0.314,1.097,0.254,0.312,0.175,0.128
123,2018,Mozambique,Sub-Saharan Africa,4.417,0.198,0.902,0.173,0.531,0.206,0.158
124,2018,Kenya,Sub-Saharan Africa,4.41,0.493,1.048,0.454,0.504,0.352,0.055
125,2018,Zambia,Sub-Saharan Africa,4.377,0.562,1.047,0.295,0.503,0.221,0.082
126,2018,Mauritania,Sub-Saharan Africa,4.356,0.557,1.245,0.292,0.129,0.134,0.093
127,2018,Ethiopia,Sub-Saharan Africa,4.35,0.308,0.95,0.391,0.452,0.22,0.146
131,2018,Chad,Sub-Saharan Africa,4.301,0.358,0.907,0.053,0.189,0.181,0.06
132,2018,Congo (Kinshasa),Sub-Saharan Africa,4.245,0.069,1.136,0.204,0.312,0.197,0.052
134,2018,Niger,Sub-Saharan Africa,4.166,0.131,0.867,0.221,0.39,0.175,0.099
135,2018,Uganda,Sub-Saharan Africa,4.161,0.322,1.09,0.237,0.45,0.259,0.061
136,2018,Benin,Sub-Saharan Africa,4.141,0.378,0.372,0.24,0.44,0.163,0.067
137,2018,Sudan,Sub-Saharan Africa,4.139,0.605,1.24,0.312,0.016,0.134,0.082
139,2018,Togo,Sub-Saharan Africa,3.999,0.259,0.474,0.253,0.434,0.158,0.101
140,2018,Guinea,Sub-Saharan Africa,3.964,0.344,0.792,0.211,0.394,0.185,0.094
141,2018,Lesotho,Sub-Saharan Africa,3.808,0.472,1.215,0.079,0.423,0.116,0.112
143,2018,Madagascar,Sub-Saharan Africa,3.774,0.262,0.908,0.402,0.221,0.155,0.049
144,2018,Zimbabwe,Sub-Saharan Africa,3.692,0.357,1.094,0.248,0.406,0.132,0.099
146,2018,Botswana,Sub-Saharan Africa,3.59,1.017,1.174,0.417,0.557,0.042,0.092
147,2018,Malawi,Sub-Saharan Africa,3.587,0.186,0.541,0.306,0.531,0.21,0.08
149,2018,Liberia,Sub-Saharan Africa,3.495,0.076,0.858,0.267,0.419,0.206,0.03
151,2018,Rwanda,Sub-Saharan Africa,3.408,0.332,0.896,0.4,0.636,0.2,0.444
153,2018,Tanzania,Sub-Saharan Africa,3.303,0.455,0.991,0.381,0.481,0.27,0.097
155,2018,Central African Republic,Sub-Saharan Africa,3.083,0.024,0,0.01,0.305,0.218,0.038
156,2018,Burundi,Sub-Saharan Africa,2.905,0.091,0.627,0.145,0.065,0.149,0.076
57,2019,Mauritius,Sub-Saharan Africa,5.888,1.12,1.402,0.798,0.498,0.215,0.06
85,2019,Nigeria,Sub-Saharan Africa,5.265,0.696,1.111,0.245,0.426,0.215,0.041
96,2019,Cameroon,Sub-Saharan Africa,5.044,0.549,0.91,0.331,0.381,0.187,0.037
98,2019,Ghana,Sub-Saharan Africa,4.996,0.611,0.868,0.486,0.381,0.245,0.04
99,2019,Ivory Coast,Sub-Saharan Africa,4.944,0.569,0.808,0.232,0.352,0.154,0.09
102,2019,Benin,Sub-Saharan Africa,4.883,0.393,0.437,0.397,0.349,0.175,0.082
103,2019,Congo (Brazzaville),Sub-Saharan Africa,4.812,0.673,0.799,0.508,0.372,0.105,0.093
104,2019,Gabon,Sub-Saharan Africa,4.799,1.057,1.183,0.571,0.295,0.043,0.055
106,2019,South Africa,Sub-Saharan Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055
111,2019,Senegal,Sub-Saharan Africa,4.681,0.45,1.134,0.571,0.292,0.153,0.072
114,2019,Niger,Sub-Saharan Africa,4.628,0.138,0.774,0.366,0.318,0.188,0.102
115,2019,Burkina Faso,Sub-Saharan Africa,4.587,0.331,1.056,0.38,0.255,0.177,0.113
118,2019,Guinea,Sub-Saharan Africa,4.534,0.38,0.829,0.375,0.332,0.207,0.086
121,2019,Kenya,Sub-Saharan Africa,4.509,0.512,0.983,0.581,0.431,0.372,0.053
122,2019,Mauritania,Sub-Saharan Africa,4.49,0.57,1.167,0.489,0.066,0.106,0.088
123,2019,Mozambique,Sub-Saharan Africa,4.466,0.204,0.986,0.39,0.494,0.197,0.138
127,2019,Congo (Kinshasa),Sub-Saharan Africa,4.418,0.094,1.125,0.357,0.269,0.212,0.053
128,2019,Mali,Sub-Saharan Africa,4.39,0.385,1.105,0.308,0.327,0.153,0.052
129,2019,Sierra Leone,Sub-Saharan Africa,4.374,0.268,0.841,0.242,0.309,0.252,0.045
132,2019,Chad,Sub-Saharan Africa,4.35,0.35,0.766,0.192,0.174,0.198,0.078
134,2019,Ethiopia,Sub-Saharan Africa,4.286,0.336,1.033,0.532,0.344,0.209,0.1
136,2019,Uganda,Sub-Saharan Africa,4.189,0.332,1.069,0.443,0.356,0.252,0.06
138,2019,Zambia,Sub-Saharan Africa,4.107,0.578,1.058,0.426,0.431,0.247,0.087
139,2019,Togo,Sub-Saharan Africa,4.085,0.275,0.572,0.41,0.293,0.177,0.085
141,2019,Liberia,Sub-Saharan Africa,3.975,0.073,0.922,0.443,0.37,0.233,0.033
142,2019,Comoros,Sub-Saharan Africa,3.973,0.274,0.757,0.505,0.142,0.275,0.078
143,2019,Madagascar,Sub-Saharan Africa,3.933,0.274,0.916,0.555,0.148,0.169,0.041
144,2019,Lesotho,Sub-Saharan Africa,3.802,0.489,1.169,0.168,0.359,0.107,0.093
145,2019,Burundi,Sub-Saharan Africa,3.775,0.046,0.447,0.38,0.22,0.176,0.18
146,2019,Zimbabwe,Sub-Saharan Africa,3.663,0.366,1.114,0.433,0.361,0.151,0.089
148,2019,Botswana,Sub-Saharan Africa,3.488,1.041,1.145,0.538,0.455,0.025,0.1
150,2019,Malawi,Sub-Saharan Africa,3.41,0.191,0.56,0.495,0.443,0.218,0.089
152,2019,Rwanda,Sub-Saharan Africa,3.334,0.359,0.711,0.614,0.555,0.217,0.411
153,2019,Tanzania,Sub-Saharan Africa,3.231,0.476,0.885,0.499,0.417,0.276,0.147
155,2019,Central African Republic,Sub-Saharan Africa,3.083,0.026,0,0.105,0.225,0.235,0.035
79,2015,Bhutan,Southern Asia,5.253,0.77,1.104,0.574,0.532,0.48,0.154
81,2015,Pakistan,Southern Asia,5.194,0.595,0.414,0.515,0.121,0.337,0.105
109,2015,Bangladesh,Southern Asia,4.694,0.398,0.431,0.602,0.408,0.212,0.126
117,2015,India,Southern Asia,4.565,0.645,0.382,0.515,0.398,0.265,0.085
